COLUMN_1 COLUMN_2 COLUMN_3 COLUMN_4 COLUMN_5 COLUMN_6 COLUMN_7 COLUMN_8 COLUMN_9 COLUMN_10 COLUMN_11 COLUMN_12
214.450 8.14101E-19 8.96861E-19 8.51433E-19 8.77706E-19 9.09990E-19 8.76001E-19 8.97861E-19 8.79237E-19 9.59774E-19 8.25268E-19 9.61838E-19
214.460 8.00587E-19 9.04316E-19 8.73964E-19 8.71739E-19 8.98525E-19 9.43313E-19 8.86595E-19 8.81469E-19 9.27724E-19 8.77346E-19 9.42717E-19
214.470 8.14477E-19 9.34382E-19 9.08157E-19 9.10554E-19 8.69205E-19 8.57864E-19 8.93632E-19 8.77702E-19 8.96388E-19 9.17061E-19 9.50813E-19
214.480 8.08031E-19 9.75441E-19 9.57002E-19 9.10005E-19 9.35155E-19 8.55145E-19 8.89617E-19 8.60776E-19 9.00502E-19 8.70194E-19 9.75705E-19
214.490 8.69328E-19 9.75421E-19 8.98524E-19 8.56808E-19 9.44346E-19 8.51800E-19 8.90143E-19 8.77125E-19 9.68315E-19 8.74777E-19 9.50418E-19
214.500 8.72410E-19 8.86594E-19 9.22670E-19 8.90271E-19 9.16807E-19 8.38958E-19 9.46129E-19 8.74707E-19 9.89133E-19 9.73425E-19 9.42325E-19
214.510 8.58085E-19 9.44705E-19 9.82951E-19 9.17264E-19 8.90424E-19 8.35106E-19 9.40637E-19 8.68453E-19 9.67221E-19 9.38228E-19 9.59174E-19
214.520 8.29803E-19 9.37862E-19 9.57445E-19 9.59399E-19 9.36116E-19 8.63263E-19 9.42977E-19 8.54445E-19 9.83791E-19 8.90479E-19 9.41284E-19
214.530 8.29182E-19 9.09081E-19 1.00150E-18 9.59868E-19 9.31495E-19 8.90149E-19 9.78499E-19 8.71496E-19 9.03485E-19 9.45708E-19 9.51787E-19
214.540 8.51079E-19 9.31401E-19 9.65729E-19 9.66213E-19 9.08614E-19 9.42904E-19 9.45901E-19 8.98465E-19 8.87717E-19 9.01584E-19 9.51644E-19
214.550 7.72628E-19 8.96111E-19 9.57102E-19 9.45775E-19 9.34683E-19 8.62340E-19 9.23222E-19 8.48961E-19 8.82621E-19 9.29496E-19 9.33683E-19
214.560 8.03273E-19 9.26372E-19 8.96239E-19 9.25624E-19 9.09577E-19 8.46625E-19 9.39766E-19 9.08578E-19 9.68566E-19 9.44868E-19 9.04771E-19
214.570 8.32760E-19 8.91092E-19 9.30901E-19 9.14726E-19 9.01185E-19 8.34319E-19 8.75775E-19 8.55546E-19 1.01649E-18 8.94346E-19 9.57788E-19
214.580 8.16418E-19 9.13000E-19 9.81178E-19 9.16566E-19 8.64296E-19 8.26657E-19 8.75058E-19 8.72226E-19 9.81940E-19 8.74269E-19 9.61776E-19
214.590 8.72089E-19 9.03484E-19 9.62507E-19 9.97771E-19 8.74465E-19 8.90720E-19 9.31355E-19 8.76403E-19 9.84610E-19 8.19973E-19 9.36997E-19
214.600 8.14831E-19 9.38177E-19 9.58446E-19 1.00282E-18 9.36550E-19 8.83908E-19 9.11831E-19 8.73699E-19 9.40824E-19 8.96894E-19 9.67907E-19
